"","time","start_station_name","rideable_type","member_casual","number_of_rides"
"1",2023-12-01,"2 St & Park Ave","classic_bike","casual",1
"2",2023-12-01,"Bloomfield St & 15 St","classic_bike","casual",3
"3",2023-12-01,"Christ Hospital","classic_bike","casual",1
"4",2023-12-01,"Church Sq Park - 5 St & Park Ave","classic_bike","casual",1
"5",2023-12-01,"Clinton St & Newark St","classic_bike","member",1
"6",2023-12-01,"Grove St PATH","classic_bike","casual",1
"7",2023-12-01,"Grove St PATH","classic_bike","member",2
"8",2023-12-01,"Hamilton Park","classic_bike","casual",1
"9",2023-12-01,"Hamilton Park","classic_bike","member",1
"10",2023-12-01,"Jersey & 3rd","classic_bike","member",1
"11",2023-12-01,"Manila & 1st","classic_bike","member",1
"12",2023-12-01,"Newark Ave","classic_bike","member",1
"13",2023-12-01,"Southwest Park - Jackson St & Observer Hwy","classic_bike","member",1
"14",2023-12-01 01:00:00,"11 St & Washington St","classic_bike","member",1
"15",2023-12-01 01:00:00,"5 Corners Library","electric_bike","member",1
"16",2023-12-01 01:00:00,"8 St & Washington St","classic_bike","member",1
"17",2023-12-01 01:00:00,"Baldwin at Montgomery","classic_bike","member",1
"18",2023-12-01 01:00:00,"Bloomfield St & 15 St","classic_bike","casual",1
"19",2023-12-01 01:00:00,"Church Sq Park - 5 St & Park Ave","classic_bike","casual",4
"20",2023-12-01 01:00:00,"Church Sq Park - 5 St & Park Ave","classic_bike","member",1
"21",2023-12-01 01:00:00,"Exchange Pl","classic_bike","casual",1
"22",2023-12-01 01:00:00,"Hamilton Park","classic_bike","member",1
"23",2023-12-01 01:00:00,"JC Medical Center","classic_bike","member",1
"24",2023-12-01 01:00:00,"Journal Square","classic_bike","casual",1
"25",2023-12-01 01:00:00,"McGinley Square","classic_bike","member",1
"26",2023-12-01 01:00:00,"Newark Ave","classic_bike","member",2
"27",2023-12-01 01:00:00,"Newark Ave","electric_bike","member",1
"28",2023-12-01 01:00:00,"Southwest Park - Jackson St & Observer Hwy","classic_bike","casual",1
"29",2023-12-01 01:00:00,"York St & Marin Blvd","classic_bike","member",1
"30",2023-12-01 02:00:00,"8 St & Washington St","classic_bike","casual",1
"31",2023-12-01 02:00:00,"Dixon Mills","classic_bike","casual",1
"32",2023-12-01 02:00:00,"Exchange Pl","classic_bike","casual",1
"33",2023-12-01 02:00:00,"Exchange Pl","classic_bike","member",1
"34",2023-12-01 02:00:00,"Southwest Park - Jackson St & Observer Hwy","classic_bike","casual",1
"35",2023-12-01 03:00:00,"5 Corners Library","classic_bike","member",1
"36",2023-12-01 03:00:00,"8 St & Washington St","classic_bike","casual",1
"37",2023-12-01 03:00:00,"Bergen Ave & Sip Ave","classic_bike","member",2
"38",2023-12-01 03:00:00,"Fairmount Ave","classic_bike","member",1
"39",2023-12-01 03:00:00,"Grove St PATH","electric_bike","member",1
"40",2023-12-01 04:00:00,"9 St HBLR - Jackson St & 8 St","classic_bike","casual",1
"41",2023-12-01 04:00:00,"Adams St & 12 St","classic_bike","member",1
"42",2023-12-01 04:00:00,"Adams St & 2 St","classic_bike","member",1
"43",2023-12-01 04:00:00,"Dixon Mills","classic_bike","member",1
"44",2023-12-01 04:00:00,"Washington St","classic_bike","member",1
"45",2023-12-01 05:00:00,"12 St & Sinatra Dr N","classic_bike","casual",1
"46",2023-12-01 05:00:00,"12 St & Sinatra Dr N","classic_bike","member",2
"47",2023-12-01 05:00:00,"4 St & Grand St","classic_bike","casual",1
"48",2023-12-01 05:00:00,"4 St & Grand St","classic_bike","member",1
"49",2023-12-01 05:00:00,"4 St & Grand St","electric_bike","casual",1
"50",2023-12-01 05:00:00,"7 St & Monroe St","classic_bike","member",1
"51",2023-12-01 05:00:00,"8 St & Washington St","classic_bike","member",1
"52",2023-12-01 05:00:00,"9 St HBLR - Jackson St & 8 St","classic_bike","member",1
"53",2023-12-01 05:00:00,"Adams St & 2 St","classic_bike","casual",1
"54",2023-12-01 05:00:00,"Adams St & 2 St","classic_bike","member",1
"55",2023-12-01 05:00:00,"Clinton St & 7 St","classic_bike","member",1
"56",2023-12-01 05:00:00,"Fairmount Ave","classic_bike","member",1
"57",2023-12-01 05:00:00,"Glenwood Ave","classic_bike","member",2
"58",2023-12-01 05:00:00,"Grand St","classic_bike","member",1
"59",2023-12-01 05:00:00,"Grove St PATH","classic_bike","member",3
"60",2023-12-01 05:00:00,"Grove St PATH","electric_bike","member",1
"61",2023-12-01 05:00:00,"Hamilton Park","classic_bike","member",1
"62",2023-12-01 05:00:00,"Lafayette Park","classic_bike","member",2
"63",2023-12-01 05:00:00,"Madison St & 1 St","electric_bike","member",1
"64",2023-12-01 05:00:00,"Madison St & 10 St","classic_bike","member",1
"65",2023-12-01 05:00:00,"Monmouth and 6th","classic_bike","member",2
"66",2023-12-01 05:00:00,"Pershing Field","classic_bike","member",1
"67",2023-12-01 05:00:00,"River St & 1 St","classic_bike","member",1
"68",2023-12-01 05:00:00,"Stevens - River Ter & 6 St","classic_bike","member",1
"69",2023-12-01 05:00:00,"Van Vorst Park","classic_bike","member",1
"70",2023-12-01 05:00:00,"Willow Ave & 12 St","classic_bike","member",1
"71",2023-12-01 06:00:00,"11 St & Washington St","classic_bike","member",1
"72",2023-12-01 06:00:00,"12 St & Sinatra Dr N","classic_bike","member",1
"73",2023-12-01 06:00:00,"14 St Ferry - 14 St & Shipyard Ln","classic_bike","member",1
"74",2023-12-01 06:00:00,"4 St & Grand St","classic_bike","casual",1
"75",2023-12-01 06:00:00,"4 St & Grand St","classic_bike","member",1
"76",2023-12-01 06:00:00,"4 St & Grand St","electric_bike","member",1
"77",2023-12-01 06:00:00,"6 St & Grand St","classic_bike","casual",2
"78",2023-12-01 06:00:00,"6 St & Grand St","classic_bike","member",3
"79",2023-12-01 06:00:00,"8 St & Washington St","classic_bike","member",2
"80",2023-12-01 06:00:00,"9 St HBLR - Jackson St & 8 St","classic_bike","member",2
"81",2023-12-01 06:00:00,"Adams St & 2 St","classic_bike","member",2
"82",2023-12-01 06:00:00,"Adams St & 2 St","electric_bike","member",1
"83",2023-12-01 06:00:00,"Baldwin at Montgomery","classic_bike","member",1
"84",2023-12-01 06:00:00,"Brunswick St","classic_bike","casual",1
"85",2023-12-01 06:00:00,"Brunswick St","classic_bike","member",2
"86",2023-12-01 06:00:00,"Church Sq Park - 5 St & Park Ave","classic_bike","member",1
"87",2023-12-01 06:00:00,"City Hall","classic_bike","member",1
"88",2023-12-01 06:00:00,"Clinton St & 7 St","classic_bike","member",1
"89",2023-12-01 06:00:00,"Clinton St & Newark St","classic_bike","member",1
"90",2023-12-01 06:00:00,"Columbus Park - Clinton St & 9 St","classic_bike","casual",2
"91",2023-12-01 06:00:00,"Columbus Park - Clinton St & 9 St","classic_bike","member",4
"92",2023-12-01 06:00:00,"Columbus Park - Clinton St & 9 St","electric_bike","member",1
"93",2023-12-01 06:00:00,"Communipaw & Berry Lane","classic_bike","casual",1
"94",2023-12-01 06:00:00,"Communipaw & Berry Lane","classic_bike","member",1
"95",2023-12-01 06:00:00,"Dixon Mills","classic_bike","member",2
"96",2023-12-01 06:00:00,"Essex Light Rail","classic_bike","member",1
"97",2023-12-01 06:00:00,"Fairmount Ave","classic_bike","member",2
"98",2023-12-01 06:00:00,"Fairmount Ave","electric_bike","member",1
"99",2023-12-01 06:00:00,"Glenwood Ave","electric_bike","member",1
"100",2023-12-01 06:00:00,"Grand St & 14 St","classic_bike","member",2
"101",2023-12-01 06:00:00,"Grove St PATH","classic_bike","member",1
"102",2023-12-01 06:00:00,"Grove St PATH","electric_bike","member",1
"103",2023-12-01 06:00:00,"Hamilton Park","classic_bike","casual",1
"104",2023-12-01 06:00:00,"Hamilton Park","classic_bike","member",4
"105",2023-12-01 06:00:00,"Hoboken Ave at Monmouth St","classic_bike","member",2
"106",2023-12-01 06:00:00,"Hoboken Terminal - Hudson St & Hudson Pl","classic_bike","member",2
"107",2023-12-01 06:00:00,"Hoboken Terminal - River St & Hudson Pl","classic_bike","member",4
"108",2023-12-01 06:00:00,"JC Medical Center","classic_bike","member",2
"109",2023-12-01 06:00:00,"Jackson Square","classic_bike","member",1
"110",2023-12-01 06:00:00,"Jersey & 3rd","classic_bike","member",1
"111",2023-12-01 06:00:00,"Jersey & 6th St","classic_bike","member",1
"112",2023-12-01 06:00:00,"Madison St & 1 St","classic_bike","member",2
"113",2023-12-01 06:00:00,"Marin Light Rail","classic_bike","member",1
"114",2023-12-01 06:00:00,"Marshall St & 2 St","classic_bike","member",2
"115",2023-12-01 06:00:00,"McGinley Square","classic_bike","casual",1
"116",2023-12-01 06:00:00,"Monmouth and 6th","classic_bike","casual",1
"117",2023-12-01 06:00:00,"Montgomery St","classic_bike","member",1
"118",2023-12-01 06:00:00,"Morris Canal","classic_bike","casual",1
"119",2023-12-01 06:00:00,"Morris Canal","classic_bike","member",4
"120",2023-12-01 06:00:00,"Newark Ave","classic_bike","member",2
"121",2023-12-01 06:00:00,"Oakland Ave","classic_bike","member",2
"122",2023-12-01 06:00:00,"Pershing Field","classic_bike","member",2
"123",2023-12-01 06:00:00,"Southwest Park - Jackson St & Observer Hwy","classic_bike","member",1
"124",2023-12-01 06:00:00,"Van Vorst Park","classic_bike","member",1
"125",2023-12-01 06:00:00,"Warren St","classic_bike","member",1
"126",2023-12-01 06:00:00,"Willow Ave & 12 St","classic_bike","member",2
"127",2023-12-01 07:00:00,"11 St & Washington St","classic_bike","casual",1
"128",2023-12-01 07:00:00,"11 St & Washington St","classic_bike","member",3
"129",2023-12-01 07:00:00,"12 St & Sinatra Dr N","classic_bike","member",2
"130",2023-12-01 07:00:00,"14 St Ferry - 14 St & Shipyard Ln","classic_bike","casual",1
"131",2023-12-01 07:00:00,"2 St & Park Ave","classic_bike","member",2
"132",2023-12-01 07:00:00,"4 St & Grand St","classic_bike","member",1
"133",2023-12-01 07:00:00,"4 St & River St","classic_bike","casual",1
"134",2023-12-01 07:00:00,"6 St & Grand St","classic_bike","member",4
"135",2023-12-01 07:00:00,"7 St & Monroe St","classic_bike","member",2
"136",2023-12-01 07:00:00,"8 St & Washington St","classic_bike","member",3
"137",2023-12-01 07:00:00,"9 St HBLR - Jackson St & 8 St","classic_bike","casual",1
"138",2023-12-01 07:00:00,"Adams St & 2 St","classic_bike","member",2
"139",2023-12-01 07:00:00,"Astor Place","classic_bike","casual",2
"140",2023-12-01 07:00:00,"Astor Place","classic_bike","member",1
"141",2023-12-01 07:00:00,"Bergen Ave","classic_bike","member",1
"142",2023-12-01 07:00:00,"Bergen Ave & Sip Ave","classic_bike","member",3
"143",2023-12-01 07:00:00,"Bloomfield St & 15 St","classic_bike","casual",1
"144",2023-12-01 07:00:00,"Bloomfield St & 15 St","classic_bike","member",1
"145",2023-12-01 07:00:00,"Brunswick & 6th","classic_bike","member",5
"146",2023-12-01 07:00:00,"Brunswick St","classic_bike","member",1
"147",2023-12-01 07:00:00,"Brunswick St","electric_bike","member",1
"148",2023-12-01 07:00:00,"Christ Hospital","classic_bike","member",1
"149",2023-12-01 07:00:00,"Church Sq Park - 5 St & Park Ave","classic_bike","member",6
"150",2023-12-01 07:00:00,"Church Sq Park - 5 St & Park Ave","electric_bike","member",1
"151",2023-12-01 07:00:00,"City Hall","classic_bike","member",3
"152",2023-12-01 07:00:00,"City Hall - Washington St & 1 St","classic_bike","member",2
"153",2023-12-01 07:00:00,"Clinton St & 7 St","classic_bike","casual",1
"154",2023-12-01 07:00:00,"Clinton St & 7 St","classic_bike","member",3
"155",2023-12-01 07:00:00,"Clinton St & Newark St","electric_bike","member",1
"156",2023-12-01 07:00:00,"Columbus Park - Clinton St & 9 St","classic_bike","member",3
"157",2023-12-01 07:00:00,"Columbus Park - Clinton St & 9 St","electric_bike","member",3
"158",2023-12-01 07:00:00,"Dixon Mills","classic_bike","member",2
"159",2023-12-01 07:00:00,"Essex Light Rail","classic_bike","member",2
"160",2023-12-01 07:00:00,"Exchange Pl","classic_bike","casual",2
"161",2023-12-01 07:00:00,"Fairmount Ave","classic_bike","member",1
"162",2023-12-01 07:00:00,"Glenwood Ave","classic_bike","member",1
"163",2023-12-01 07:00:00,"Grand St","classic_bike","member",2
"164",2023-12-01 07:00:00,"Grand St & 14 St","classic_bike","member",2
"165",2023-12-01 07:00:00,"Grove St PATH","classic_bike","member",1
"166",2023-12-01 07:00:00,"Hamilton Park","classic_bike","member",5
"167",2023-12-01 07:00:00,"Hamilton Park","electric_bike","casual",1
"168",2023-12-01 07:00:00,"Harborside","classic_bike","member",3
"169",2023-12-01 07:00:00,"Hoboken Ave at Monmouth St","classic_bike","member",2
"170",2023-12-01 07:00:00,"Hoboken Terminal - Hudson St & Hudson Pl","classic_bike","member",1
"171",2023-12-01 07:00:00,"JC Medical Center","classic_bike","member",1
"172",2023-12-01 07:00:00,"Jersey & 6th St","classic_bike","member",2
"173",2023-12-01 07:00:00,"Lafayette Park","classic_bike","casual",1
"174",2023-12-01 07:00:00,"Lafayette Park","classic_bike","member",2
"175",2023-12-01 07:00:00,"Liberty Light Rail","classic_bike","member",2
"176",2023-12-01 07:00:00,"Madison St & 1 St","classic_bike","member",4
"177",2023-12-01 07:00:00,"Madison St & 1 St","electric_bike","member",1
"178",2023-12-01 07:00:00,"Mama Johnson Field - 4 St & Jackson St","classic_bike","member",3
"179",2023-12-01 07:00:00,"Marin Light Rail","classic_bike","member",5
"180",2023-12-01 07:00:00,"Marshall St & 2 St","classic_bike","member",5
"181",2023-12-01 07:00:00,"McGinley Square","classic_bike","member",1
"182",2023-12-01 07:00:00,"Monmouth and 6th","classic_bike","member",3
"183",2023-12-01 07:00:00,"Morris Canal","classic_bike","member",4
"184",2023-12-01 07:00:00,"Newport PATH","classic_bike","member",2
"185",2023-12-01 07:00:00,"Newport Pkwy","classic_bike","member",5
"186",2023-12-01 07:00:00,"Oakland Ave","classic_bike","member",1
"187",2023-12-01 07:00:00,"Paulus Hook","classic_bike","member",1
"188",2023-12-01 07:00:00,"South Waterfront Walkway - Sinatra Dr & 1 St","classic_bike","member",1
"189",2023-12-01 07:00:00,"Southwest Park - Jackson St & Observer Hwy","classic_bike","casual",1
"190",2023-12-01 07:00:00,"Southwest Park - Jackson St & Observer Hwy","classic_bike","member",3
"191",2023-12-01 07:00:00,"Stevens - River Ter & 6 St","classic_bike","member",1
"192",2023-12-01 07:00:00,"Van Vorst Park","classic_bike","member",2
"193",2023-12-01 07:00:00,"Warren St","classic_bike","member",2
"194",2023-12-01 07:00:00,"Willow Ave & 12 St","classic_bike","member",1
"195",2023-12-01 08:00:00,"11 St & Washington St","classic_bike","member",1
"196",2023-12-01 08:00:00,"11 St & Washington St","electric_bike","casual",1
"197",2023-12-01 08:00:00,"11 St & Washington St","electric_bike","member",1
"198",2023-12-01 08:00:00,"12 St & Sinatra Dr N","classic_bike","casual",1
"199",2023-12-01 08:00:00,"12 St & Sinatra Dr N","classic_bike","member",3
"200",2023-12-01 08:00:00,"14 St Ferry - 14 St & Shipyard Ln","classic_bike","member",4
"201",2023-12-01 08:00:00,"2 St & Park Ave","classic_bike","member",1
"202",2023-12-01 08:00:00,"4 St & Grand St","classic_bike","member",3
"203",2023-12-01 08:00:00,"5 Corners Library","classic_bike","member",1
"204",2023-12-01 08:00:00,"6 St & Grand St","classic_bike","casual",1
"205",2023-12-01 08:00:00,"6 St & Grand St","classic_bike","member",2
"206",2023-12-01 08:00:00,"7 St & Monroe St","classic_bike","casual",1
"207",2023-12-01 08:00:00,"7 St & Monroe St","classic_bike","member",3
"208",2023-12-01 08:00:00,"9 St HBLR - Jackson St & 8 St","classic_bike","member",2
"209",2023-12-01 08:00:00,"Adams St & 12 St","classic_bike","member",1
"210",2023-12-01 08:00:00,"Adams St & 2 St","classic_bike","casual",1
"211",2023-12-01 08:00:00,"Adams St & 2 St","classic_bike","member",1
"212",2023-12-01 08:00:00,"Astor Place","classic_bike","member",1
"213",2023-12-01 08:00:00,"Baldwin at Montgomery","classic_bike","casual",2
"214",2023-12-01 08:00:00,"Baldwin at Montgomery","classic_bike","member",1
"215",2023-12-01 08:00:00,"Bergen Ave","classic_bike","casual",1
"216",2023-12-01 08:00:00,"Bergen Ave","classic_bike","member",1
"217",2023-12-01 08:00:00,"Brunswick & 6th","classic_bike","member",1
"218",2023-12-01 08:00:00,"Brunswick & 6th","electric_bike","member",1
"219",2023-12-01 08:00:00,"Brunswick St","classic_bike","member",6
"220",2023-12-01 08:00:00,"Christ Hospital","classic_bike","member",1
"221",2023-12-01 08:00:00,"Church Sq Park - 5 St & Park Ave","classic_bike","member",4
"222",2023-12-01 08:00:00,"City Hall","classic_bike","member",1
"223",2023-12-01 08:00:00,"City Hall - Washington St & 1 St","classic_bike","member",1
"224",2023-12-01 08:00:00,"Clinton St & Newark St","classic_bike","member",2
"225",2023-12-01 08:00:00,"Columbus Park - Clinton St & 9 St","classic_bike","member",3
"226",2023-12-01 08:00:00,"Communipaw & Berry Lane","classic_bike","member",2
"227",2023-12-01 08:00:00,"Dey St","classic_bike","member",2
"228",2023-12-01 08:00:00,"Dixon Mills","classic_bike","member",2
"229",2023-12-01 08:00:00,"Essex Light Rail","classic_bike","member",1
"230",2023-12-01 08:00:00,"Exchange Pl","classic_bike","member",3
"231",2023-12-01 08:00:00,"Glenwood Ave","classic_bike","member",3
"232",2023-12-01 08:00:00,"Grand St","classic_bike","member",3
"233",2023-12-01 08:00:00,"Grand St & 14 St","classic_bike","member",2
"234",2023-12-01 08:00:00,"Grant Ave & MLK Dr","classic_bike","member",1
"235",2023-12-01 08:00:00,"Grove St PATH","classic_bike","member",3
"236",2023-12-01 08:00:00,"Hamilton Park","classic_bike","member",4
"237",2023-12-01 08:00:00,"Hamilton Park","electric_bike","casual",1
"238",2023-12-01 08:00:00,"Harborside","classic_bike","member",2
"239",2023-12-01 08:00:00,"Heights Elevator","classic_bike","member",3
"240",2023-12-01 08:00:00,"Hilltop","classic_bike","member",2
"241",2023-12-01 08:00:00,"Hoboken Ave at Monmouth St","classic_bike","member",2
"242",2023-12-01 08:00:00,"Hoboken Ave at Monmouth St","electric_bike","member",1
"243",2023-12-01 08:00:00,"Hoboken Terminal - Hudson St & Hudson Pl","classic_bike","casual",1
"244",2023-12-01 08:00:00,"Hoboken Terminal - Hudson St & Hudson Pl","classic_bike","member",8
"245",2023-12-01 08:00:00,"Hoboken Terminal - River St & Hudson Pl","classic_bike","casual",2
"246",2023-12-01 08:00:00,"Hoboken Terminal - River St & Hudson Pl","classic_bike","member",5
"247",2023-12-01 08:00:00,"JC Medical Center","classic_bike","member",5
"248",2023-12-01 08:00:00,"Jersey & 6th St","classic_bike","member",1
"249",2023-12-01 08:00:00,"Journal Square","classic_bike","casual",1
"250",2023-12-01 08:00:00,"Lafayette Park","classic_bike","casual",1
"251",2023-12-01 08:00:00,"Leonard Gordon Park","classic_bike","member",4
"252",2023-12-01 08:00:00,"Liberty Light Rail","classic_bike","member",5
"253",2023-12-01 08:00:00,"Liberty Light Rail","electric_bike","casual",1
"254",2023-12-01 08:00:00,"Lincoln Park","classic_bike","casual",1
"255",2023-12-01 08:00:00,"Lincoln Park","classic_bike","member",1
"256",2023-12-01 08:00:00,"Madison St & 1 St","classic_bike","member",2
"257",2023-12-01 08:00:00,"Madison St & 10 St","classic_bike","casual",1
"258",2023-12-01 08:00:00,"Mama Johnson Field - 4 St & Jackson St","classic_bike","member",2
"259",2023-12-01 08:00:00,"Manila & 1st","classic_bike","member",2
"260",2023-12-01 08:00:00,"Marin Light Rail","classic_bike","member",4
"261",2023-12-01 08:00:00,"Marshall St & 2 St","classic_bike","casual",1
"262",2023-12-01 08:00:00,"Marshall St & 2 St","classic_bike","member",4
"263",2023-12-01 08:00:00,"Marshall St & 2 St","electric_bike","member",1
"264",2023-12-01 08:00:00,"McGinley Square","classic_bike","member",5
"265",2023-12-01 08:00:00,"Monmouth and 6th","classic_bike","casual",1
"266",2023-12-01 08:00:00,"Montgomery St","classic_bike","member",2
"267",2023-12-01 08:00:00,"Morris Canal","classic_bike","member",2
"268",2023-12-01 08:00:00,"New York Ave & St Marks Ave","classic_bike","member",1
"269",2023-12-01 08:00:00,"Newark Ave","classic_bike","member",2
"270",2023-12-01 08:00:00,"Newport PATH","classic_bike","member",8
"271",2023-12-01 08:00:00,"Newport Pkwy","classic_bike","member",1
"272",2023-12-01 08:00:00,"Paulus Hook","classic_bike","member",4
"273",2023-12-01 08:00:00,"River St & 1 St","classic_bike","casual",1
"274",2023-12-01 08:00:00,"River St & 1 St","classic_bike","member",3
"275",2023-12-01 08:00:00,"Riverview Park","classic_bike","member",3
"276",2023-12-01 08:00:00,"Riverview Park","electric_bike","member",1
"277",2023-12-01 08:00:00,"South Waterfront Walkway - Sinatra Dr & 1 St","classic_bike","member",1
"278",2023-12-01 08:00:00,"South Waterfront Walkway - Sinatra Dr & 1 St","electric_bike","member",1
